ИНД (ТБ_ГОСБ_ТН);ИНД (ТБ_ГОСБ_ФИО);ТН 10;ТБ;ГОСБ;КМ;Эффективный КМ;2025, тыс. руб.;2024, тыс. руб. на конец месяца;Прирост, %;Прирост, тыс. руб.;ОД конец квартала, тыс. руб.
Дальневосточный банк_Камчатское ГОСБ №8556_1046938158;Дальневосточный банк_Камчатское ГОСБ №8556_Васильев Тимур Максимович;1046938158;Дальневосточный банк;Камчатское ГОСБ №8556;Васильев Тимур Максимович;👍;132072;100357.0;31.6;31715.0;132072.0
Дальневосточный банк_Камчатское ГОСБ №8556_1374079804;Дальневосточный банк_Камчатское ГОСБ №8556_Николаев Анастасия Сергеевна;1374079804;Дальневосточный банк;Камчатское ГОСБ №8556;Николаев Анастасия Сергеевна;👍;159959;96239.0;66.21;63720.0;159959.0
Дальневосточный банк_Камчатское ГОСБ №8556_1374079804;Дальневосточный банк_Камчатское ГОСБ №8556_Николаев Анастасия Сергеевна;1374079804;Дальневосточный банк;Камчатское ГОСБ №8556;Николаев Анастасия Сергеевна;👍;96239;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_2625226589;Дальневосточный банк_Камчатское ГОСБ №8556_Семенов Виктория Алексеевна;2625226589;Дальневосточный банк;Камчатское ГОСБ №8556;Семенов Виктория Алексеевна;👍;212164;91856.0;130.97;120308.0;212164.0
Дальневосточный банк_Камчатское ГОСБ №8556_2625226589;Дальневосточный банк_Камчатское ГОСБ №8556_Семенов Виктория Алексеевна;2625226589;Дальневосточный банк;Камчатское ГОСБ №8556;Семенов Виктория Алексеевна;👍;91856;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_2779789448;Дальневосточный банк_Камчатское ГОСБ №8556_Васильев Анастасия Дмитриевна;2779789448;Дальневосточный банк;Камчатское ГОСБ №8556;Васильев Анастасия Дмитриевна;👍;200268;131702.0;52.06;68566.0;200268.0
Дальневосточный банк_Камчатское ГОСБ №8556_2779789448;Дальневосточный банк_Камчатское ГОСБ №8556_Васильев Анастасия Дмитриевна;2779789448;Дальневосточный банк;Камчатское ГОСБ №8556;Васильев Анастасия Дмитриевна;👍;131702;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_3346954038;Дальневосточный банк_Камчатское ГОСБ №8556_Соколов Елена Дмитриевна;3346954038;Дальневосточный банк;Камчатское ГОСБ №8556;Соколов Елена Дмитриевна;👍;67138;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_3346954038;Дальневосточный банк_Камчатское ГОСБ №8556_Соколов Елена Дмитриевна;3346954038;Дальневосточный банк;Камчатское ГОСБ №8556;Соколов Елена Дмитриевна;👍;95138;67138.0;41.71;28000.0;95138.0
Дальневосточный банк_Камчатское ГОСБ №8556_3731580846;Дальневосточный банк_Камчатское ГОСБ №8556_Николаев Юлия Николаевна;3731580846;Дальневосточный банк;Камчатское ГОСБ №8556;Николаев Юлия Николаевна;👎;93722;64234.0;45.91;29488.0;93722.0
Дальневосточный банк_Камчатское ГОСБ №8556_3731580846;Дальневосточный банк_Камчатское ГОСБ №8556_Николаев Юлия Николаевна;3731580846;Дальневосточный банк;Камчатское ГОСБ №8556;Николаев Юлия Николаевна;👎;64234;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_3782913438;Дальневосточный банк_Камчатское ГОСБ №8556_Новиков Юлия Михайловна;3782913438;Дальневосточный банк;Камчатское ГОСБ №8556;Новиков Юлия Михайловна;👍;101475;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_3782913438;Дальневосточный банк_Камчатское ГОСБ №8556_Новиков Юлия Михайловна;3782913438;Дальневосточный банк;Камчатское ГОСБ №8556;Новиков Юлия Михайловна;👍;174073;101475.0;71.54;72598.0;174073.0
Дальневосточный банк_Камчатское ГОСБ №8556_4449784162;Дальневосточный банк_Камчатское ГОСБ №8556_Волков Денис Михайлович;4449784162;Дальневосточный банк;Камчатское ГОСБ №8556;Волков Денис Михайлович;👍;208009;181507.0;14.6;26502.0;208009.0
Дальневосточный банк_Камчатское ГОСБ №8556_4449784162;Дальневосточный банк_Камчатское ГОСБ №8556_Волков Денис Михайлович;4449784162;Дальневосточный банк;Камчатское ГОСБ №8556;Волков Денис Михайлович;👍;181507;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_5649858167;Дальневосточный банк_Камчатское ГОСБ №8556_Новиков Владимир Дмитриевич;5649858167;Дальневосточный банк;Камчатское ГОСБ №8556;Новиков Владимир Дмитриевич;👍;173214;170699.0;1.47;2515.0;173214.0
Дальневосточный банк_Камчатское ГОСБ №8556_5649858167;Дальневосточный банк_Камчатское ГОСБ №8556_Новиков Владимир Дмитриевич;5649858167;Дальневосточный банк;Камчатское ГОСБ №8556;Новиков Владимир Дмитриевич;👍;170699;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_6007740458;Дальневосточный банк_Камчатское ГОСБ №8556_Павлов Максим Алексеевич;6007740458;Дальневосточный банк;Камчатское ГОСБ №8556;Павлов Максим Алексеевич;👍;84588;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_6007740458;Дальневосточный банк_Камчатское ГОСБ №8556_Павлов Максим Алексеевич;6007740458;Дальневосточный банк;Камчатское ГОСБ №8556;Павлов Максим Алексеевич;👍;193917;84588.0;129.25;109329.0;193917.0
Дальневосточный банк_Камчатское ГОСБ №8556_6677074361;Дальневосточный банк_Камчатское ГОСБ №8556_Иванов Ирина Ивановна;6677074361;Дальневосточный банк;Камчатское ГОСБ №8556;Иванов Ирина Ивановна;👍;217584;150329.0;44.74;67255.0;217584.0
Дальневосточный банк_Камчатское ГОСБ №8556_6677074361;Дальневосточный банк_Камчатское ГОСБ №8556_Иванов Ирина Ивановна;6677074361;Дальневосточный банк;Камчатское ГОСБ №8556;Иванов Ирина Ивановна;👍;150329;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_7309120428;Дальневосточный банк_Камчатское ГОСБ №8556_Морозов Артем Дмитриевич;7309120428;Дальневосточный банк;Камчатское ГОСБ №8556;Морозов Артем Дмитриевич;👍;208535;167809.0;24.27;40726.0;208535.0
Дальневосточный банк_Камчатское ГОСБ №8556_7309120428;Дальневосточный банк_Камчатское ГОСБ №8556_Морозов Артем Дмитриевич;7309120428;Дальневосточный банк;Камчатское ГОСБ №8556;Морозов Артем Дмитриевич;👍;167809;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_7740159745;Дальневосточный банк_Камчатское ГОСБ №8556_Васильев Максим Владимирович;7740159745;Дальневосточный банк;Камчатское ГОСБ №8556;Васильев Максим Владимирович;👍;104164;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_7740159745;Дальневосточный банк_Камчатское ГОСБ №8556_Васильев Максим Владимирович;7740159745;Дальневосточный банк;Камчатское ГОСБ №8556;Васильев Максим Владимирович;👍;163060;104164.0;56.54;58896.0;163060.0
Дальневосточный банк_Камчатское ГОСБ №8556_7779669173;Дальневосточный банк_Камчатское ГОСБ №8556_Волков Игорь Александрович;7779669173;Дальневосточный банк;Камчатское ГОСБ №8556;Волков Игорь Александрович;👍;176116;173606.0;1.45;2510.0;176116.0
Дальневосточный банк_Камчатское ГОСБ №8556_7779669173;Дальневосточный банк_Камчатское ГОСБ №8556_Волков Игорь Александрович;7779669173;Дальневосточный банк;Камчатское ГОСБ №8556;Волков Игорь Александрович;👍;173606;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_8390148849;Дальневосточный банк_Камчатское ГОСБ №8556_Козлов Анастасия Михайловна;8390148849;Дальневосточный банк;Камчатское ГОСБ №8556;Козлов Анастасия Михайловна;👍;173073;128006.0;35.21;45067.0;173073.0
Дальневосточный банк_Камчатское ГОСБ №8556_8390148849;Дальневосточный банк_Камчатское ГОСБ №8556_Козлов Анастасия Михайловна;8390148849;Дальневосточный банк;Камчатское ГОСБ №8556;Козлов Анастасия Михайловна;👍;128006;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_8614227083;Дальневосточный банк_Камчатское ГОСБ №8556_Михайлов Екатерина Александровна;8614227083;Дальневосточный банк;Камчатское ГОСБ №8556;Михайлов Екатерина Александровна;👍;201254;182191.0;10.46;19063.0;201254.0
Дальневосточный банк_Камчатское ГОСБ №8556_8614227083;Дальневосточный банк_Камчатское ГОСБ №8556_Михайлов Екатерина Александровна;8614227083;Дальневосточный банк;Камчатское ГОСБ №8556;Михайлов Екатерина Александровна;👍;182191;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_8614454178;Дальневосточный банк_Камчатское ГОСБ №8556_Петров Николай Андреевич;8614454178;Дальневосточный банк;Камчатское ГОСБ №8556;Петров Николай Андреевич;👎;216276;199752.0;8.27;16524.0;216276.0
Дальневосточный банк_Камчатское ГОСБ №8556_8614454178;Дальневосточный банк_Камчатское ГОСБ №8556_Петров Николай Андреевич;8614454178;Дальневосточный банк;Камчатское ГОСБ №8556;Петров Николай Андреевич;👎;199752;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_9370100732;Дальневосточный банк_Камчатское ГОСБ №8556_Морозов Иван Андреевич;9370100732;Дальневосточный банк;Камчатское ГОСБ №8556;Морозов Иван Андреевич;👍;161732;94710.0;70.77;67022.0;161732.0
Дальневосточный банк_Камчатское ГОСБ №8556_9370100732;Дальневосточный банк_Камчатское ГОСБ №8556_Морозов Иван Андреевич;9370100732;Дальневосточный банк;Камчатское ГОСБ №8556;Морозов Иван Андреевич;👍;94710;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_9385955980;Дальневосточный банк_Камчатское ГОСБ №8556_Алексеев Владимир Владимирович;9385955980;Дальневосточный банк;Камчатское ГОСБ №8556;Алексеев Владимир Владимирович;👍;134893;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_9385955980;Дальневосточный банк_Камчатское ГОСБ №8556_Алексеев Владимир Владимирович;9385955980;Дальневосточный банк;Камчатское ГОСБ №8556;Алексеев Владимир Владимирович;👍;164547;134893.0;21.98;29654.0;164547.0
Дальневосточный банк_Камчатское ГОСБ №8556_9426617753;Дальневосточный банк_Камчатское ГОСБ №8556_Федоров Даниил Михайлович;9426617753;Дальневосточный банк;Камчатское ГОСБ №8556;Федоров Даниил Михайлович;👍;91552;N/A;N/A;N/A;N/A
Дальневосточный банк_Камчатское ГОСБ №8556_9427701316;Дальневосточный банк_Камчатское ГОСБ №8556_Семенов Наталья Андреевна;9427701316;Дальневосточный банк;Камчатское ГОСБ №8556;Семенов Наталья Андреевна;👍;103865;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_0302512384;Дальневосточный банк_Приморское ГОСБ №8635_Семенов Андрей Дмитриевич;302512384;Дальневосточный банк;Приморское ГОСБ №8635;Семенов Андрей Дмитриевич;👎;189180;169917.0;11.34;19263.0;189180.0
Дальневосточный банк_Приморское ГОСБ №8635_0302512384;Дальневосточный банк_Приморское ГОСБ №8635_Семенов Андрей Дмитриевич;302512384;Дальневосточный банк;Приморское ГОСБ №8635;Семенов Андрей Дмитриевич;👎;169917;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_0466726670;Дальневосточный банк_Приморское ГОСБ №8635_Егоров Андрей Алексеевич;466726670;Дальневосточный банк;Приморское ГОСБ №8635;Егоров Андрей Алексеевич;👎;208904;64894.0;221.92;144010.0;208904.0
Дальневосточный банк_Приморское ГОСБ №8635_0466726670;Дальневосточный банк_Приморское ГОСБ №8635_Егоров Андрей Алексеевич;466726670;Дальневосточный банк;Приморское ГОСБ №8635;Егоров Андрей Алексеевич;👎;64894;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_0505177545;Дальневосточный банк_Приморское ГОСБ №8635_Морозов Светлана Дмитриевна;505177545;Дальневосточный банк;Приморское ГОСБ №8635;Морозов Светлана Дмитриевна;👍;87749;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_0505177545;Дальневосточный банк_Приморское ГОСБ №8635_Морозов Светлана Дмитриевна;505177545;Дальневосточный банк;Приморское ГОСБ №8635;Морозов Светлана Дмитриевна;👍;207596;87749.0;136.58;119847.0;207596.0
Дальневосточный банк_Приморское ГОСБ №8635_1563815166;Дальневосточный банк_Приморское ГОСБ №8635_Лебедев Сергей Сергеевич;1563815166;Дальневосточный банк;Приморское ГОСБ №8635;Лебедев Сергей Сергеевич;👍;56937;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_2160345042;Дальневосточный банк_Приморское ГОСБ №8635_Козлов Алексей Александрович;2160345042;Дальневосточный банк;Приморское ГОСБ №8635;Козлов Алексей Александрович;👍;191951;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_2160345042;Дальневосточный банк_Приморское ГОСБ №8635_Козлов Алексей Александрович;2160345042;Дальневосточный банк;Приморское ГОСБ №8635;Козлов Алексей Александрович;👍;197520;191951.0;2.9;5569.0;197520.0
Дальневосточный банк_Приморское ГОСБ №8635_2264010822;Дальневосточный банк_Приморское ГОСБ №8635_Павлов Анна Алексеевна;2264010822;Дальневосточный банк;Приморское ГОСБ №8635;Павлов Анна Алексеевна;👍;117149;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_2433527275;Дальневосточный банк_Приморское ГОСБ №8635_Волков Сергей Дмитриевич;2433527275;Дальневосточный банк;Приморское ГОСБ №8635;Волков Сергей Дмитриевич;👍;146399;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_2433527275;Дальневосточный банк_Приморское ГОСБ №8635_Волков Сергей Дмитриевич;2433527275;Дальневосточный банк;Приморское ГОСБ №8635;Волков Сергей Дмитриевич;👍;215173;146399.0;46.98;68774.0;215173.0
Дальневосточный банк_Приморское ГОСБ №8635_3517070943;Дальневосточный банк_Приморское ГОСБ №8635_Козлов Вероника Сергеевна;3517070943;Дальневосточный банк;Приморское ГОСБ №8635;Козлов Вероника Сергеевна;👍;168979;166514.0;1.48;2465.0;168979.0
Дальневосточный банк_Приморское ГОСБ №8635_3517070943;Дальневосточный банк_Приморское ГОСБ №8635_Козлов Вероника Сергеевна;3517070943;Дальневосточный банк;Приморское ГОСБ №8635;Козлов Вероника Сергеевна;👍;166514;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_3998567764;Дальневосточный банк_Приморское ГОСБ №8635_Новиков Максим Михайлович;3998567764;Дальневосточный банк;Приморское ГОСБ №8635;Новиков Максим Михайлович;👍;164610;152958.0;7.62;11652.0;164610.0
Дальневосточный банк_Приморское ГОСБ №8635_3998567764;Дальневосточный банк_Приморское ГОСБ №8635_Новиков Максим Михайлович;3998567764;Дальневосточный банк;Приморское ГОСБ №8635;Новиков Максим Михайлович;👍;152958;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_4184708743;Дальневосточный банк_Приморское ГОСБ №8635_Павлов Анастасия Михайловна;4184708743;Дальневосточный банк;Приморское ГОСБ №8635;Павлов Анастасия Михайловна;👍;204626;177582.0;15.23;27044.0;204626.0
Дальневосточный банк_Приморское ГОСБ №8635_4184708743;Дальневосточный банк_Приморское ГОСБ №8635_Павлов Анастасия Михайловна;4184708743;Дальневосточный банк;Приморское ГОСБ №8635;Павлов Анастасия Михайловна;👍;177582;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_4679993010;Дальневосточный банк_Приморское ГОСБ №8635_Попов Владимир Александрович;4679993010;Дальневосточный банк;Приморское ГОСБ №8635;Попов Владимир Александрович;👍;214437;194897.0;10.03;19540.0;214437.0
Дальневосточный банк_Приморское ГОСБ №8635_4679993010;Дальневосточный банк_Приморское ГОСБ №8635_Попов Владимир Александрович;4679993010;Дальневосточный банк;Приморское ГОСБ №8635;Попов Владимир Александрович;👍;194897;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_4729819835;Дальневосточный банк_Приморское ГОСБ №8635_Семенов София Сергеевна;4729819835;Дальневосточный банк;Приморское ГОСБ №8635;Семенов София Сергеевна;👎;86443;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_4773156596;Дальневосточный банк_Приморское ГОСБ №8635_Новиков Диана Ивановна;4773156596;Дальневосточный банк;Приморское ГОСБ №8635;Новиков Диана Ивановна;👍;178283;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_4773156596;Дальневосточный банк_Приморское ГОСБ №8635_Новиков Диана Ивановна;4773156596;Дальневосточный банк;Приморское ГОСБ №8635;Новиков Диана Ивановна;👍;202218;178283.0;13.43;23935.0;202218.0
Дальневосточный банк_Приморское ГОСБ №8635_4903005564;Дальневосточный банк_Приморское ГОСБ №8635_Соколов Ксения Андреевна;4903005564;Дальневосточный банк;Приморское ГОСБ №8635;Соколов Ксения Андреевна;👍;175909;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_4903005564;Дальневосточный банк_Приморское ГОСБ №8635_Соколов Ксения Андреевна;4903005564;Дальневосточный банк;Приморское ГОСБ №8635;Соколов Ксения Андреевна;👍;214374;175909.0;21.87;38465.0;214374.0
Дальневосточный банк_Приморское ГОСБ №8635_5391866016;Дальневосточный банк_Приморское ГОСБ №8635_Попов Виктория Александровна;5391866016;Дальневосточный банк;Приморское ГОСБ №8635;Попов Виктория Александровна;👍;168611;133272.0;26.52;35339.0;168611.0
Дальневосточный банк_Приморское ГОСБ №8635_5391866016;Дальневосточный банк_Приморское ГОСБ №8635_Попов Виктория Александровна;5391866016;Дальневосточный банк;Приморское ГОСБ №8635;Попов Виктория Александровна;👍;133272;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_5650485584;Дальневосточный банк_Приморское ГОСБ №8635_Новиков Михаил Михайлович;5650485584;Дальневосточный банк;Приморское ГОСБ №8635;Новиков Михаил Михайлович;👍;181004;58637.0;208.69;122367.0;181004.0
Дальневосточный банк_Приморское ГОСБ №8635_5650485584;Дальневосточный банк_Приморское ГОСБ №8635_Новиков Михаил Михайлович;5650485584;Дальневосточный банк;Приморское ГОСБ №8635;Новиков Михаил Михайлович;👍;58637;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_5717582231;Дальневосточный банк_Приморское ГОСБ №8635_Волков Даниил Александрович;5717582231;Дальневосточный банк;Приморское ГОСБ №8635;Волков Даниил Александрович;👍;130635;109024.0;19.82;21611.0;130635.0
Дальневосточный банк_Приморское ГОСБ №8635_5717582231;Дальневосточный банк_Приморское ГОСБ №8635_Волков Даниил Александрович;5717582231;Дальневосточный банк;Приморское ГОСБ №8635;Волков Даниил Александрович;👍;109024;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_5743764037;Дальневосточный банк_Приморское ГОСБ №8635_Волков Михаил Иванович;5743764037;Дальневосточный банк;Приморское ГОСБ №8635;Волков Михаил Иванович;👍;172813;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_6025812489;Дальневосточный банк_Приморское ГОСБ №8635_Козлов Анна Дмитриевна;6025812489;Дальневосточный банк;Приморское ГОСБ №8635;Козлов Анна Дмитриевна;👎;127286;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_6025812489;Дальневосточный банк_Приморское ГОСБ №8635_Козлов Анна Дмитриевна;6025812489;Дальневосточный банк;Приморское ГОСБ №8635;Козлов Анна Дмитриевна;👎;179252;127286.0;40.83;51966.0;179252.0
Дальневосточный банк_Приморское ГОСБ №8635_6348597349;Дальневосточный банк_Приморское ГОСБ №8635_Иванов Евгений Алексеевич;6348597349;Дальневосточный банк;Приморское ГОСБ №8635;Иванов Евгений Алексеевич;👍;188888;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_6348597349;Дальневосточный банк_Приморское ГОСБ №8635_Иванов Евгений Алексеевич;6348597349;Дальневосточный банк;Приморское ГОСБ №8635;Иванов Евгений Алексеевич;👍;194300;188888.0;2.87;5412.0;194300.0
Дальневосточный банк_Приморское ГОСБ №8635_6354324050;Дальневосточный банк_Приморское ГОСБ №8635_Новиков Полина Андреевна;6354324050;Дальневосточный банк;Приморское ГОСБ №8635;Новиков Полина Андреевна;👍;126013;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_6354324050;Дальневосточный банк_Приморское ГОСБ №8635_Новиков Полина Андреевна;6354324050;Дальневосточный банк;Приморское ГОСБ №8635;Новиков Полина Андреевна;👍;170771;126013.0;35.52;44758.0;170771.0
Дальневосточный банк_Приморское ГОСБ №8635_6717184394;Дальневосточный банк_Приморское ГОСБ №8635_Козлов София Сергеевна;6717184394;Дальневосточный банк;Приморское ГОСБ №8635;Козлов София Сергеевна;👍;198525;150066.0;32.29;48459.0;198525.0
Дальневосточный банк_Приморское ГОСБ №8635_6717184394;Дальневосточный банк_Приморское ГОСБ №8635_Козлов София Сергеевна;6717184394;Дальневосточный банк;Приморское ГОСБ №8635;Козлов София Сергеевна;👍;150066;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_7165182153;Дальневосточный банк_Приморское ГОСБ №8635_Петров Дарья Сергеевна;7165182153;Дальневосточный банк;Приморское ГОСБ №8635;Петров Дарья Сергеевна;👍;157667;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_7325063710;Дальневосточный банк_Приморское ГОСБ №8635_Соколов Даниил Андреевич;7325063710;Дальневосточный банк;Приморское ГОСБ №8635;Соколов Даниил Андреевич;👍;195473;93247.0;109.63;102226.0;195473.0
Дальневосточный банк_Приморское ГОСБ №8635_7325063710;Дальневосточный банк_Приморское ГОСБ №8635_Соколов Даниил Андреевич;7325063710;Дальневосточный банк;Приморское ГОСБ №8635;Соколов Даниил Андреевич;👍;93247;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_9242968811;Дальневосточный банк_Приморское ГОСБ №8635_Новиков Юлия Алексеевна;9242968811;Дальневосточный банк;Приморское ГОСБ №8635;Новиков Юлия Алексеевна;👍;216282;199569.0;8.37;16713.0;216282.0
Дальневосточный банк_Приморское ГОСБ №8635_9242968811;Дальневосточный банк_Приморское ГОСБ №8635_Новиков Юлия Алексеевна;9242968811;Дальневосточный банк;Приморское ГОСБ №8635;Новиков Юлия Алексеевна;👍;199569;N/A;N/A;N/A;N/A
Дальневосточный банк_Приморское ГОСБ №8635_9375786582;Дальневосточный банк_Приморское ГОСБ №8635_Попов Татьяна Ивановна;9375786582;Дальневосточный банк;Приморское ГОСБ №8635;Попов Татьяна Ивановна;👍;177014;159787.0;10.78;17227.0;177014.0
Дальневосточный банк_Приморское ГОСБ №8635_9375786582;Дальневосточный банк_Приморское ГОСБ №8635_Попов Татьяна Ивановна;9375786582;Дальневосточный банк;Приморское ГОСБ №8635;Попов Татьяна Ивановна;👍;159787;N/A;N/A;N/A;N/A
Дальневосточный банк_Северо-Восточное ГОСБ №8645_1734472416;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Алексеев Алиса Александровна;1734472416;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Алексеев Алиса Александровна;👍;210460;77550.0;171.39;132910.0;210460.0
Дальневосточный банк_Северо-Восточное ГОСБ №8645_1734472416;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Алексеев Алиса Александровна;1734472416;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Алексеев Алиса Александровна;👍;77550;N/A;N/A;N/A;N/A
Дальневосточный банк_Северо-Восточное ГОСБ №8645_1964660577;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Смирнов Полина Владимировна;1964660577;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Смирнов Полина Владимировна;👍;199232;129214.0;54.19;70018.0;199232.0
Дальневосточный банк_Северо-Восточное ГОСБ №8645_1964660577;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Смирнов Полина Владимировна;1964660577;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Смирнов Полина Владимировна;👍;129214;N/A;N/A;N/A;N/A
Дальневосточный банк_Северо-Восточное ГОСБ №8645_2812371362;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Федоров Алексей Владимирович;2812371362;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Федоров Алексей Владимирович;👍;195420;175656.0;11.25;19764.0;195420.0
Дальневосточный банк_Северо-Восточное ГОСБ №8645_2812371362;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Федоров Алексей Владимирович;2812371362;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Федоров Алексей Владимирович;👍;175656;N/A;N/A;N/A;N/A
Дальневосточный банк_Северо-Восточное ГОСБ №8645_3720310233;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Семенов Максим Сергеевич;3720310233;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Семенов Максим Сергеевич;👎;123771;70126.0;76.5;53645.0;123771.0
Дальневосточный банк_Северо-Восточное ГОСБ №8645_3720310233;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Семенов Максим Сергеевич;3720310233;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Семенов Максим Сергеевич;👎;70126;N/A;N/A;N/A;N/A
Дальневосточный банк_Северо-Восточное ГОСБ №8645_4201383498;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Морозов Алексей Андреевич;4201383498;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Морозов Алексей Андреевич;👍;199072;93854.0;112.11;105218.0;199072.0
Дальневосточный банк_Северо-Восточное ГОСБ №8645_4201383498;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Морозов Алексей Андреевич;4201383498;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Морозов Алексей Андреевич;👍;93854;N/A;N/A;N/A;N/A
Дальневосточный банк_Северо-Восточное ГОСБ №8645_4364740933;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Козлов Елена Андреевна;4364740933;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Козлов Елена Андреевна;👍;144923;N/A;N/A;N/A;N/A
Дальневосточный банк_Северо-Восточное ГОСБ №8645_4364740933;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Козлов Елена Андреевна;4364740933;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Козлов Елена Андреевна;👍;201258;144923.0;38.87;56335.0;201258.0
Дальневосточный банк_Северо-Восточное ГОСБ №8645_4526539409;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Павлов Вероника Андреевна;4526539409;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Павлов Вероника Андреевна;👍;80047;N/A;N/A;N/A;N/A
Дальневосточный банк_Северо-Восточное ГОСБ №8645_4526539409;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Павлов Вероника Андреевна;4526539409;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Павлов Вероника Андреевна;👍;107195;80047.0;33.92;27148.0;107195.0
Дальневосточный банк_Северо-Восточное ГОСБ №8645_5512937166;Дальневосточный банк_Северо-Восточное ГОСБ №8645_Попов Анна Алексеевна;5512937166;Дальневосточный банк;Северо-Восточное ГОСБ №8645;Попов Анна Алексеевна;👎;167064;137017.0;21.93;30047.0;167064.0
